proms_indicator,proms_indicator_protocol,year,phase,Fair,Poor,evt,ivt,secondary_prevention,Americas,Asia,multi_region,AIS_TIA,SAH,funding,sample_by_100,year_sq,sample_by_100_sq
0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,5.43,0,29.484899999999996
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.63,0,58.216899999999995
0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0.98,0,0.9603999999999999
1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3.27,0,10.6929
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,20.29,1,411.68409999999994
0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1.18,1,1.3923999999999999
0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,4.57,1,20.884900000000002
0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,5.15,1,26.522500000000004
0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,2.6,1,6.760000000000001
0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,11.47,1,131.5609
0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,22.98,4,528.0804
0,0,2,0,1,0,1,0,0,1,0,0,1,0,1,1.78,4,3.1684
0,1,2,0,0,0,0,1,0,0,0,0,1,0,1,30.35,4,921.1225000000001
0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,1.13,4,1.2768999999999997
0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,6.42,4,41.2164
0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0.56,4,0.31360000000000005
0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1.76,4,3.0976
0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,12.03,4,144.72089999999997
0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,5.71,4,32.6041
0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,2.1,4,4.41
1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,6.01,9,36.1201
0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,28.76,9,827.1376000000001
1,1,3,0,0,0,0,0,0,1,0,0,1,0,1,8.41,9,70.7281
0,0,3,0,0,1,1,0,0,1,0,0,1,0,1,6.56,9,43.03359999999999
0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,3.62,9,13.1044
0,0,3,1,1,0,1,0,0,1,0,0,1,0,1,1.27,9,1.6129
0,1,3,0,0,0,0,0,1,0,1,0,1,0,0,51.7,9,2672.8900000000003
0,0,3,0,0,0,0,0,0,0,1,0,1,0,1,11,9,121
0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,4.46,9,19.8916
0,1,3,1,0,0,0,1,0,1,0,0,1,0,1,1.26,9,1.5876000000000001
0,0,3,1,0,0,0,0,0,0,0,0,1,0,1,3.28,9,10.758399999999998
1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,28.39,9,805.9921
1,1,3,0,1,0,0,0,0,0,1,0,0,0,0,1.62,9,2.6244000000000005
0,0,4,0,1,0,0,0,0,0,1,0,1,0,1,40.71,16,1657.3041
0,0,4,1,0,0,0,0,0,0,0,0,1,0,1,4.21,16,17.7241
0,0,4,0,0,0,0,0,0,0,0,1,1,0,1,6.3,16,39.69
